timestamp,region,service_type,demand_units,capacity_allocated,cost_usd,availability_pct,customer_growth_rate,enterprise_it_spending_index
01-01-2023,East US,Compute,1596.0,1879,154.85,98.88,0.0103,0.814
01-01-2023,East US,Storage,927.0,1198,134.04,97.68,0.0387,0.89
01-01-2023,West Europe,Compute,1022.0,1263,72.3,99.47,0.0159,0.981
01-01-2023,West Europe,Storage,732.0,974,61.89,98.52,0.0242,1.076
01-01-2023,Central India,Compute,704.0,781,47.68,97.91,0.0404,1.13
01-01-2023,Central India,Storage,977.0,1257,111.7,98.7,0.0219,0.895
01-01-2023,Southeast Asia,Compute,1321.0,1423,193.95,98.93,0.0426,0.95
01-01-2023,Southeast Asia,Storage,1612.0,1807,100.39,98.98,0.0479,1.142
02-01-2023,East US,Compute,1603.0,1736,133.71,99.24,0.0444,0.813
02-01-2023,East US,Storage,1458.0,1702,,97.18,0.0148,1.039
02-01-2023,West Europe,Compute,1057.0,1262,139.95,97.92,0.0259,1.066
02-01-2023,West Europe,Storage,1224.0,1338,76.83,,0.0439,0.95
02-01-2023,Central India,Compute,1297.0,1558,173.02,99.02,0.0368,0.96
02-01-2023,Central India,Storage,796.0,1075,53.05,98.04,0.0378,0.949
02-01-2023,Southeast Asia,Compute,,1937,189.82,99.0,0.0471,1.02
02-01-2023,Southeast Asia,Storage,1278.0,1336,90.87,97.04,0.041,0.934
03-01-2023,East US,Compute,1231.0,1513,92.11,99.68,0.0466,1.057
03-01-2023,East US,Storage,1358.0,1622,80.11,99.84,0.0359,1.155
03-01-2023,West Europe,Compute,1659.0,1723,202.44,97.98,0.0396,1.068
03-01-2023,West Europe,Storage,566.0,666,33.21,99.25,0.0288,1.173
03-01-2023,Central India,Compute,946.0,1241,98.14,98.53,0.0202,0.857
03-01-2023,Central India,Storage,1250.0,1332,179.94,99.16,0.0208,0.906
03-01-2023,Southeast Asia,Compute,1351.0,1544,194.54,98.98,0.0415,1.154
03-01-2023,Southeast Asia,Storage,1609.0,1735,182.45,98.19,0.0181,1.143
04-01-2023,East US,Compute,779.0,900,73.94,99.8,0.025,0.909
04-01-2023,East US,Storage,1301.0,1411,149.22,97.87,0.0498,0.814
04-01-2023,West Europe,Compute,510.0,662,72.69,97.23,0.0152,1.068
04-01-2023,West Europe,Storage,677.0,847,60.16,97.6,0.0461,1.181
04-01-2023,Central India,Compute,1294.0,1402,187.19,99.05,0.0408,0.996
04-01-2023,Central India,Storage,1534.0,1758,192.84,99.51,0.0413,1.066
04-01-2023,Southeast Asia,Compute,1627.0,1822,173.62,97.25,0.039,0.889
04-01-2023,Southeast Asia,Storage,1861.0,2100,204.61,99.73,0.0279,0.892
05-01-2023,East US,Compute,658.0,837,38.29,99.54,0.027,1.163
05-01-2023,East US,Storage,954.0,1225,,97.52,0.0409,0.801
05-01-2023,West Europe,Compute,502.0,680,43.03,97.67,0.0371,1.002
05-01-2023,West Europe,Storage,975.0,1111,105.83,98.71,0.0213,0.905
05-01-2023,Central India,Compute,1127.0,1313,144.25,,0.0381,0.914
05-01-2023,Central India,Storage,815.0,904,76.26,97.91,0.024,0.862
05-01-2023,Southeast Asia,Compute,1337.0,1418,175.33,99.47,0.0385,1.082
05-01-2023,Southeast Asia,Storage,1025.0,1136,110.49,97.48,0.0203,0.851
06-01-2023,East US,Compute,923.0,1206,75.45,98.55,0.02,1.023
06-01-2023,East US,Storage,1070.0,1226,122.27,97.19,0.0342,0.865
06-01-2023,West Europe,Compute,1530.0,1711,222.07,99.27,0.0408,1.053
06-01-2023,West Europe,storage,1937.0,2195,225.88,98.75,0.0486,1.134
06-01-2023,Central India,Compute,1041.0,1144,53.78,97.89,0.0274,1.002
06-01-2023,Central India,Storage,1943.0,2006,171.21,99.15,0.046,0.97
06-01-2023,southeast asia,Compute,973.0,1093,75.93,97.85,0.0137,0.823
06-01-2023,Southeast Asia,Storage,1636.0,1781,108.18,97.39,0.0152,1.081
07-01-2023,East US,Compute,1605.0,1887,127.51,99.42,0.0274,1.186
07-01-2023,East US,Storage,723.0,979,66.09,97.9,0.0274,0.911
07-01-2023,West Europe,Compute,1725.0,1860,174.79,98.64,0.0487,0.873
07-01-2023,West Europe,Storage,759.0,853,101.98,99.31,0.0171,0.938
07-01-2023,Central India,Compute,1643.0,1878,217.28,98.5,0.0391,0.832
