timestamp,region,service_type,demand_units,capacity_allocated,cost_usd,availability_pct,customer_growth_rate,enterprise_it_spending_index
01-01-2023,East US,Compute,1596,1879,154.85,98.88,0.0103,0.814
01-01-2023,East US,Storage,927,1198,134.04,97.68,0.0387,0.89
01-01-2023,West Europe,Compute,1022,1263,72.3,99.47,0.0159,0.981
01-01-2023,West Europe,Storage,732,974,61.89,98.52,0.0242,1.076
01-01-2023,Central India,Compute,704,781,47.68,97.91,0.0404,1.13
01-01-2023,Central India,Storage,977,1257,111.7,98.7,0.0219,0.895
01-01-2023,Southeast Asia,Compute,1321,1423,193.95,98.93,0.0426,0.95
01-01-2023,Southeast Asia,Storage,1612,1807,100.39,98.98,0.0479,1.142
02-01-2023,East US,Compute,1603,1736,133.71,99.24,0.0444,0.813
02-01-2023,East US,Storage,1458,1702,,97.18,0.0148,1.039
02-01-2023,West Europe,Compute,1057,1262,139.95,97.92,0.0259,1.066
02-01-2023,West Europe,Storage,1224,1338,76.83,,0.0439,0.95
02-01-2023,Central India,Compute,1297,1558,173.02,99.02,0.0368,0.96
02-01-2023,Central India,Storage,796,1075,53.05,98.04,0.0378,0.949
02-01-2023,Southeast Asia,Compute,,1937,189.82,99,0.0471,1.02
02-01-2023,Southeast Asia,Storage,1278,1336,90.87,97.04,0.041,0.934
03-01-2023,East US,Compute,1231,1513,92.11,99.68,0.0466,1.057
03-01-2023,East US,Storage,1358,1622,80.11,99.84,0.0359,1.155
03-01-2023,West Europe,Compute,1659,1723,202.44,97.98,0.0396,1.068
03-01-2023,West Europe,Storage,566,666,33.21,99.25,0.0288,1.173
03-01-2023,Central India,Compute,946,1241,98.14,98.53,0.0202,0.857
03-01-2023,Central India,Storage,1250,1332,179.94,99.16,0.0208,0.906
03-01-2023,Southeast Asia,Compute,1351,1544,194.54,98.98,0.0415,1.154
03-01-2023,Southeast Asia,Storage,1609,1735,182.45,98.19,0.0181,1.143
04-01-2023,East US,Compute,779,900,73.94,99.8,0.025,0.909
04-01-2023,East US,Storage,1301,1411,149.22,97.87,0.0498,0.814
04-01-2023,West Europe,Compute,510,662,72.69,97.23,0.0152,1.068
04-01-2023,West Europe,Storage,677,847,60.16,97.6,0.0461,1.181
04-01-2023,Central India,Compute,1294,1402,187.19,99.05,0.0408,0.996
04-01-2023,Central India,Storage,1534,1758,192.84,99.51,0.0413,1.066
04-01-2023,Southeast Asia,Compute,1627,1822,173.62,97.25,0.039,0.889
04-01-2023,Southeast Asia,Storage,1861,2100,204.61,99.73,0.0279,0.892
05-01-2023,East US,Compute,658,837,38.29,99.54,0.027,1.163
05-01-2023,East US,Storage,954,1225,,97.52,0.0409,0.801
05-01-2023,West Europe,Compute,502,680,43.03,97.67,0.0371,1.002
05-01-2023,West Europe,Storage,975,1111,105.83,98.71,0.0213,0.905
05-01-2023,Central India,Compute,1127,1313,144.25,,0.0381,0.914
05-01-2023,Central India,Storage,815,904,76.26,97.91,0.024,0.862
05-01-2023,Southeast Asia,Compute,1337,1418,175.33,99.47,0.0385,1.082
05-01-2023,Southeast Asia,Storage,1025,1136,110.49,97.48,0.0203,0.851
06-01-2023,East US,Compute,923,1206,75.45,98.55,0.02,1.023
06-01-2023,East US,Storage,1070,1226,122.27,97.19,0.0342,0.865
06-01-2023,West Europe,Compute,1530,1711,222.07,99.27,0.0408,1.053
06-01-2023,West Europe,storage,1937,2195,225.88,98.75,0.0486,1.134
06-01-2023,Central India,Compute,1041,1144,53.78,97.89,0.0274,1.002
06-01-2023,Central India,Storage,1943,2006,171.21,99.15,0.046,0.97
06-01-2023,southeast asia,Compute,973,1093,75.93,97.85,0.0137,0.823
06-01-2023,Southeast Asia,Storage,1636,1781,108.18,97.39,0.0152,1.081
07-01-2023,East US,Compute,1605,1887,127.51,99.42,0.0274,1.186
07-01-2023,East US,Storage,723,979,66.09,97.9,0.0274,0.911
07-01-2023,West Europe,Compute,1725,1860,174.79,98.64,0.0487,0.873
07-01-2023,West Europe,Storage,759,853,101.98,99.31,0.0171,0.938
07-01-2023,Central India,Compute,1643,1878,217.28,98.5,0.0391,0.832
07-01-2023,Central India,Storage,1636,1878,109.93,99.88,0.0359,0.994
07-01-2023,Southeast Asia,Compute,1530,1583,188.43,98.54,0.0437,0.846
07-01-2023,Southeast Asia,Storage,554,707,46.61,98.41,0.0343,0.827
08-01-2023,East US,Compute,940,1146,108.99,98.1,0.0486,1.009
08-01-2023,East US,Storage,908,1091,81.97,97.92,0.0296,1.005
08-01-2023,West Europe,Compute,1031,1258,86.43,98.63,0.0237,1.056
08-01-2023,West Europe,Storage,1499,1613,161.42,98.04,0.0186,0.823
08-01-2023,Central India,Compute,857,1101,68.33,97.02,0.0356,1.185
08-01-2023,Central India,Storage,1105,1227,59.49,97.86,0.0481,0.879
08-01-2023,Southeast Asia,Compute,1589,1850,231.97,99.21,0.0177,1.166
08-01-2023,Southeast Asia,Storage,1939,2035,253.71,97.53,0.0107,0.806
09-01-2023,East US,Compute,695,764,93.68,99.95,0.0333,0.862
09-01-2023,East US,Storage,923,1126,110.05,98.21,0.0173,0.801
09-01-2023,West Europe,Compute,1229,1484,137.72,99.84,0.0125,0.929
09-01-2023,West Europe,Storage,1837,2027,99.53,98.1,0.0357,1.102
09-01-2023,Central India,Compute,1042,1332,148.35,99.95,0.0147,0.859
09-01-2023,Central India,Storage,1258,1476,162.97,97.77,0.0268,1.006
09-01-2023,Southeast Asia,Compute,1334,1404,93.17,98.96,0.0353,0.83
09-01-2023,Southeast Asia,Storage,1451,1631,91.93,97.84,0.0424,1.177
10-01-2023,East US,Compute,951,1060,51.95,97.71,0.0186,0.936
10-01-2023,East US,Storage,678,939,67.04,97.31,0.0314,0.94
10-01-2023,West Europe,Compute,1868,1920,216.35,97.76,0.0179,0.817
10-01-2023,West Europe,storage,1193,1461,124.52,97.14,0.042,0.84
10-01-2023,Central India,Compute,1213,1445,100.98,99.34,0.0235,0.857
10-01-2023,central india,Storage,1980,2187,136.95,99.33,0.0144,0.998
10-01-2023,Southeast Asia,Compute,1632,1839,148.15,,0.0455,1.144
10-01-2023,Southeast Asia,storage,979,1147,61.26,99.1,0.0215,1.059
11-01-2023,East US,compute,1245,1453,109.84,98.45,0.0273,0.802
11-01-2023,East US,Storage,,869,74.59,99.9,0.045,1.064
11-01-2023,West Europe,Compute,1072,1325,113.79,99.68,0.0301,0.935
11-01-2023,West Europe,Storage,1096,1362,97.46,98.31,0.0388,1.188
11-01-2023,central india,Compute,1142,1301,86.74,97.51,0.0121,0.871
11-01-2023,Central India,Storage,1660,1879,154.18,98.74,0.0339,1.157
11-01-2023,Southeast Asia,Compute,520,591,59.21,99.84,0.0442,0.959
11-01-2023,southeast asia,storage,1086,1216,62.61,99.78,0.0334,0.84
12-01-2023,East US,Compute,949,1240,49.33,99.84,0.0332,1.127
12-01-2023,East US,Storage,513,696,53.04,99.03,0.0463,0.88
12-01-2023,west europe,Compute,1476,1755,112.48,99.88,0.0414,1.179
12-01-2023,West Europe,Storage,,1302,131.08,99.04,0.0151,1.18
12-01-2023,Central India,Compute,1919,2097,243.53,98.85,0.0209,1.151
12-01-2023,Central India,Storage,1807,1921,101.56,98.92,0.0333,1.173
12-01-2023,Southeast Asia,Compute,1399,1611,129.71,97.42,0.0479,0.967
12-01-2023,Southeast Asia,Storage,896,1086,62.32,97.3,0.0149,0.829
13-01-2023,East US,Compute,1885,1974,225.06,98.63,0.0327,1.108
13-01-2023,East US,Storage,1745,1938,109.6,97.45,0.0419,1.066
13-01-2023,West Europe,Compute,1958,2018,113.19,99.63,0.0303,1.166
13-01-2023,West Europe,Storage,1096,1259,61.66,99.29,0.023,1.197
13-01-2023,central india,Compute,972,1181,123.52,97.58,0.0452,1.002
13-01-2023,Central India,Storage,1919,2093,221.13,97.61,0.0419,0.93
13-01-2023,Southeast Asia,Compute,797,962,117.1,98.69,0.0122,0.884
13-01-2023,Southeast Asia,Storage,1153,1342,86.33,98.5,0.0137,1.055
14-01-2023,East US,Compute,523,772,50.14,97.12,0.0384,1.163
14-01-2023,East US,Storage,1115,1260,152.06,99.46,0.0218,1.098
14-01-2023,West Europe,Compute,693,756,59.97,98.34,0.0185,1.109
14-01-2023,west europe,Storage,1903,2163,284.56,99.11,0.0365,0.931
14-01-2023,Central India,Compute,1429,1721,200.21,99.32,0.032,1.013
14-01-2023,Central India,Storage,977,1060,103.02,97.73,0.0374,0.819
14-01-2023,Southeast Asia,Compute,709,860,94.02,98.01,0.03,1.119
14-01-2023,Southeast Asia,Storage,1501,1781,114.07,99.92,0.0427,1.031
15-01-2023,East US,Compute,1675,1949,117.32,99.4,0.0223,1.109
15-01-2023,East US,Storage,1179,1368,87.56,98.5,0.0275,0.991
15-01-2023,West Europe,Compute,1362,1652,134.18,98.49,0.0441,0.877
15-01-2023,West Europe,Storage,792,895,107.4,97.63,0.0424,1.049
15-01-2023,Central India,Compute,1554,1763,154.68,99.56,0.0427,1.181
15-01-2023,Central India,Storage,1765,1815,134.06,98.01,0.0371,1.17
15-01-2023,Southeast Asia,Compute,797,882,111.35,98.47,0.0135,1.1
15-01-2023,Southeast Asia,storage,,1432,73.11,97.83,0.0241,1.116
16-01-2023,East US,Compute,1442,1646,215.71,99.94,0.0425,1.145
16-01-2023,East US,storage,1861,1953,151.19,99.91,0.0268,0.889
16-01-2023,West Europe,compute,1103,1262,163.99,98.69,0.0414,1.136
16-01-2023,West Europe,Storage,693,752,36.25,99.96,0.0248,0.947
16-01-2023,Central India,Compute,640,875,79.48,99.09,0.04,0.87
16-01-2023,Central India,Storage,,1944,176.69,99.66,0.042,1.093
16-01-2023,Southeast Asia,Compute,1570,1658,80.16,99.35,0.0279,1.098
16-01-2023,Southeast Asia,Storage,674,944,47.11,98.43,0.0133,0.973
17-01-2023,East US,Compute,1237,1323,109.83,97.15,0.0148,0.89
17-01-2023,east us,Storage,,1330,72.23,97.8,0.049,0.946
17-01-2023,West Europe,Compute,1221,1503,,99.22,0.0269,0.909
17-01-2023,West Europe,Storage,1114,1209,141.49,97.98,0.0305,0.935
17-01-2023,Central India,Compute,749,821,47.8,97.64,0.0174,1.16
17-01-2023,Central India,Storage,667,792,39.02,98.33,0.0101,1.103
17-01-2023,Southeast Asia,Compute,1431,1636,74.24,97.48,0.0244,0.956
17-01-2023,Southeast Asia,Storage,761,834,61.33,99.37,0.0342,0.94
18-01-2023,East US,Compute,650,912,93.27,99.56,0.0203,0.801
18-01-2023,East US,Storage,572,806,77.78,99.87,0.0311,0.804
18-01-2023,West Europe,Compute,824,1068,55.08,97.49,0.0438,1.163
18-01-2023,West Europe,Storage,1513,1772,217.77,97.88,0.0302,0.845
18-01-2023,Central India,Compute,1673,1892,195.22,99.54,0.0283,0.993
18-01-2023,Central India,Storage,541,818,43.63,97.05,0.0126,1.198
18-01-2023,Southeast Asia,compute,597,766,40.18,100,0.0431,1.162
18-01-2023,Southeast Asia,Storage,1257,1321,116.67,97.08,0.0232,1.126
19-01-2023,East US,Compute,1332,1444,192.36,99.23,0.0344,0.97
19-01-2023,East US,Storage,1167,1404,100.27,99.98,0.0373,0.948
19-01-2023,West Europe,Compute,1707,1928,166.94,97.91,0.0122,0.954
19-01-2023,West Europe,Storage,740,976,68.86,99.79,0.0323,0.802
19-01-2023,Central India,Compute,1647,1886,228.65,98.51,0.0304,1.091
19-01-2023,Central India,Storage,1051,1295,137.45,99.28,0.019,1.179
19-01-2023,Southeast Asia,Compute,1989,2206,159.31,99.95,0.0149,0.823
19-01-2023,Southeast Asia,Storage,1544,1625,127.71,99.73,0.0381,1.152
20-01-2023,East US,Compute,1616,1863,,98.22,0.0256,1.155
20-01-2023,East US,Storage,1832,2076,105.05,98.03,0.0496,0.937
20-01-2023,West Europe,Compute,1080,1157,153.49,98.32,0.0438,0.865
20-01-2023,West Europe,Storage,1781,2056,187.3,98.19,0.0136,1.112
20-01-2023,Central India,Compute,600,655,65.94,97.22,0.0423,0.897
20-01-2023,Central India,Storage,816,1113,85.44,97.25,0.0349,1.06
20-01-2023,Southeast Asia,Compute,1662,1827,177.05,97.38,0.0207,0.857
20-01-2023,Southeast Asia,Storage,1907,2102,236.26,99.54,0.0438,1.169
21-01-2023,East US,Compute,1686,1954,,97.05,0.0375,0.983
21-01-2023,East US,Storage,1103,1311,154.85,98.89,0.0137,0.964
21-01-2023,West Europe,Compute,1898,2066,120.06,99.9,0.0372,0.803
21-01-2023,West Europe,Storage,1384,1579,69.64,98.39,0.0414,0.948
21-01-2023,Central India,Compute,1699,1786,147.18,99.79,0.0246,0.817
21-01-2023,Central India,Storage,1608,1675,121.05,99.38,0.0294,1.13
21-01-2023,Southeast Asia,Compute,793,991,47.67,99.16,0.0459,1.124
21-01-2023,southeast asia,Storage,745,978,85.04,99.25,0.0136,1.111
22-01-2023,East US,Compute,1597,1687,220.16,98.7,0.0285,0.805
22-01-2023,East US,Storage,1880,1978,188.23,98.17,0.0374,1.086
22-01-2023,West Europe,compute,540,678,36.09,99.1,0.031,0.99
22-01-2023,West Europe,Storage,1546,1792,90.89,98.13,0.0426,0.918
22-01-2023,central india,Compute,851,1008,115.24,98.3,0.0442,0.886
22-01-2023,Central India,Storage,1269,1437,112.39,97.26,0.0272,1.112
22-01-2023,Southeast Asia,Compute,1932,2218,167.65,98.91,0.0233,0.895
22-01-2023,Southeast Asia,Storage,576,635,,99.07,0.0427,0.946
23-01-2023,East US,Compute,1430,1653,119.31,99.91,0.0469,1.109
23-01-2023,East US,Storage,705,957,,97.5,0.0128,0.907
23-01-2023,West Europe,Compute,937,992,80.85,98.7,0.0305,0.837
23-01-2023,West Europe,Storage,1533,1639,169.8,98.94,0.0151,1.02
23-01-2023,Central India,Compute,,1682,128.62,98.15,0.0472,0.961
23-01-2023,Central India,Storage,1885,2046,233.88,99.29,0.0378,1.143
23-01-2023,Southeast Asia,Compute,1178,1348,166.03,97.73,0.0445,1.121
23-01-2023,Southeast Asia,Storage,1565,1786,138.44,97.37,0.0279,1.007
24-01-2023,East US,Compute,1832,1963,143.92,99.72,0.0312,1.176
24-01-2023,East US,Storage,1928,2109,107.15,97.46,0.0481,0.925
24-01-2023,West Europe,Compute,591,697,52.08,97.77,0.0248,1.063
24-01-2023,West Europe,Storage,1696,1978,225.95,98.12,0.0456,1.044
24-01-2023,Central India,Compute,1472,1749,213.39,99.16,0.0291,1.147
24-01-2023,Central India,Storage,971,1049,60.97,99.23,0.0162,0.952
24-01-2023,Southeast Asia,Compute,1220,1446,88.48,99.58,0.0342,1.056
24-01-2023,Southeast Asia,Storage,1271,1472,172.22,99.57,0.0221,0.803
25-01-2023,East US,compute,1286,1376,67.87,98.48,0.0229,0.819
25-01-2023,East US,Storage,1961,2121,283.13,98.18,0.0321,0.936
25-01-2023,West Europe,Compute,1685,1840,210.31,98.15,0.0477,1.162
25-01-2023,West Europe,Storage,1657,1807,172.31,97.29,0.048,0.861
25-01-2023,Central India,Compute,1650,1776,207.64,98.98,0.0241,0.835
25-01-2023,central india,Storage,1923,2044,156.09,98.66,0.0247,1.176
25-01-2023,Southeast Asia,Compute,,858,43.8,99.38,0.0476,1.103
25-01-2023,Southeast Asia,Storage,1938,2047,256.44,99.69,0.0279,0.855
26-01-2023,East US,Compute,829,1086,69.49,97.06,0.0358,0.958
26-01-2023,East US,Storage,1190,1444,151.15,97.54,0.0461,1.089
26-01-2023,West Europe,Compute,755,875,56.26,98.96,0.0193,1.127
26-01-2023,West Europe,Storage,1619,1705,183.47,98.51,0.0356,1.133
26-01-2023,Central India,Compute,832,1082,63.51,98.95,0.0272,0.988
26-01-2023,Central India,Storage,1501,1608,125.85,99.64,0.0256,1.087
26-01-2023,Southeast Asia,Compute,1892,2105,110.63,97.33,0.0159,1.165
26-01-2023,Southeast Asia,Storage,1646,1701,200.67,98.8,0.0327,1.15
27-01-2023,East US,Compute,1204,1280,142.76,97.56,0.0313,0.851
27-01-2023,East US,Storage,1670,1862,86.65,98.73,0.0346,1.068
27-01-2023,West Europe,Compute,993,1197,70.09,99.64,0.0423,1.056
27-01-2023,West Europe,Storage,1456,1755,79.37,99.95,0.021,1.065
27-01-2023,Central India,Compute,540,681,73.93,99.47,0.0162,1.067
27-01-2023,Central India,Storage,1045,1279,86.54,97.01,0.0162,0.999
27-01-2023,Southeast Asia,Compute,1099,1150,148.81,97.62,0.0283,0.876
27-01-2023,Southeast Asia,Storage,537,614,60.19,97.09,0.0445,0.982
28-01-2023,East US,Compute,1618,1884,189.1,98.15,0.0238,1.187
28-01-2023,East US,Storage,963,1121,117.92,98.84,0.0306,1.118
28-01-2023,West Europe,Compute,1070,1127,134.95,99.37,0.0335,1.061
